Freq (GHz),Gamma real,Gamma imag,Gamma var11,Gamma var22,Gamma var12
119.0,-0.24284784955079441,-0.00027960417106604997,0.0016724807505455607,3.7336670009755735e-08,2.32619380622806e-06
120.0,-0.2427933001110728,-0.0002790593865263348,0.0016723436071106959,3.7137449341617054e-08,2.2716325796583103e-06
121.0,-0.24273858694511813,-0.0002785547395377854,0.0016722044692291046,3.6945688893273805e-08,2.218876894742766e-06
122.0,-0.24268371256202015,-0.0002780888303487155,0.0016720633048233325,3.676090868623596e-08,2.1678688370657975e-06
123.0,-0.24262867948430003,-0.0002776603044077079,0.0016719200846178643,3.658266058478744e-08,2.118551921398213e-06
124.0,-0.242573490246713,-0.00027726785063111436,0.0016717747818227756,3.641052631699796e-08,2.070871074971989e-06
125.0,-0.2425181473972915,-0.00027691020053636454,0.0016716273718400928,3.624411600801377e-08,2.0247726575996285e-06
126.0,-0.24246265349107235,-0.00027658612641633557,0.0016714778326555406,3.6083066105892354e-08,1.9802044278196795e-06
127.0,-0.2424070100548961,-0.0002749090510101508,0.0016713319450067882,3.5943521870619774e-08,1.9610111248889234e-06
128.0,-0.24235122994524344,-0.00027471556771996184,0.0016711775104774616,3.579047691012942e-08,1.9183848619388693e-06
129.0,-0.24229530565869167,-0.0002745490484150904,0.0016710209320179355,3.564199151001522e-08,1.8771769194433322e-06
130.0,-0.24223923984211387,-0.00027440856297027,0.0016708621931154546,3.549778102388641e-08,1.83733930115993e-06
131.0,-0.2421830351412599,-0.00027429320991165647,0.001670701279190307,3.5357580510603375e-08,1.798825367061691e-06
132.0,-0.2421266942011007,-0.0002742021157448261,0.0016705381774639028,3.5221143642879734e-08,1.7615898272748563e-06
133.0,-0.24207021966371267,-0.00027413443366200533,0.0016703728768855102,3.5088241553073713e-08,1.725588721346195e-06
134.0,-0.242013614169382,-0.00027408934355708484,0.0016702053680024839,3.495866155568463e-08,1.6907793881829068e-06
135.0,-0.24195688035393487,-0.0002740660505751782,0.0016700356428054229,3.483220607384747e-08,1.6571204441774494e-06
136.0,-0.241900020848267,-0.00027406378458488925,0.001669863694837206,3.4708691533671667e-08,1.6245717527913597e-06
137.0,-0.24184303827935671,-0.00027408179963951586,0.001669689518851417,3.4587947793238267e-08,1.593094423126375e-06
138.0,-0.24178593526756714,-0.000274119373140446,0.0016695131112062507,3.44698166533924e-08,1.562650751815365e-06
139.0,-0.24172871442643148,-0.00027417580525601994,0.0016693344691360219,3.4354151711672724e-08,1.533204230256488e-06
140.0,-0.24167137836378477,-0.0002742504179749436,0.0016691535912714184,3.424081683948539e-08,1.5047194868739565e-06
141.0,-0.24161392967694592,-0.0002743425548927026,0.0016689704773532306,3.412968596816312e-08,1.4771622844267845e-06
142.0,-0.24155637095798999,-0.00027445158024112467,0.0016687851280996358,3.402064220702318e-08,1.4504994836964502e-06
143.0,-0.24149870478800242,-0.00027457687836774904,0.0016685975451892897,3.3913577209269815e-08,1.424699016587211e-06
144.0,-0.2414409337390418,-0.00027471785316171305,0.00166840773135604,3.380839060258417e-08,1.3997298686899283e-06
145.0,-0.24138306037360732,-0.00027487392749590107,0.001668215690096332,3.370498930636832e-08,1.375562037219886e-06
146.0,-0.2413250872434703,-0.00027504454252474627,0.0016680214258680973,3.360328714897905e-08,1.3521665184866419e-06
147.0,-0.2412670168901702,-0.0002752291573996601,0.001667824943840717,3.350320440017691e-08,1.3295152820132848e-06
148.0,-0.24120885184266552,-0.0002754272483172026,0.0016676262499841757,3.340466696381012e-08,1.3075812252879325e-06
149.0,-0.24115059461877325,-0.0002756383083184578,0.0016674253509410247,3.330760649502398e-08,1.2863381766783443e-06
150.0,-0.24109224772442991,-0.0002758618466415583,0.0016672222540369682,3.321195943800804e-08,1.2657608431192732e-06
