freq (GHz),abs(Gamma),uabs(Gamma) (var)
2.0,0.24811148423061186,0.00014365368329645201
4.0,0.2480195794157675,0.0001477179200308874
6.0,0.2479704395156725,0.00014935678154905248
8.0,0.24793280917183305,0.0001502429330763127
10.0,0.24789624640609426,0.0001507948904832157
12.0,0.24785690542086275,0.00015116971824575344
14.0,0.2478136817881179,0.0001514403809258507
16.0,0.24776658070666957,0.0001516453351861672
18.0,0.247716013932994,0.00015180646100519373
20.0,0.24766248085416,0.0001519369016151962
22.0,0.24760642748230152,0.00015204493697865417
24.0,0.24754819501256925,0.00015213601235982864
26.0,0.2474880159442319,0.0001522138911806454
28.0,0.24742520340209365,0.00015226323371367065
30.0,0.2473561499036903,0.0001522943522979499
32.0,0.24728417150734514,0.00015234970621009615
34.0,0.24720982538048886,0.0001524070916225641
36.0,0.2471353942440349,0.00015246941008289708
38.0,0.2470577817627898,0.00015250848886731188
40.0,0.24698006648919155,0.00015256636986412615
42.0,0.24689992565430813,0.00015261241098257918
44.0,0.24681812662494568,0.00015266248812367334
46.0,0.24673816840382598,0.00015270354262317476
48.0,0.2466559933025427,0.00015274549796339285
50.0,0.24657322877778276,0.0001527831086746884
52.0,0.24648919153753268,0.00015281387650760463
54.0,0.24640403057435775,0.00015284470695488923
56.0,0.24631948098492196,0.00015287148507205038
58.0,0.24623422757637967,0.00015289194576623163
60.0,0.246147209598742,0.000152913042082363
62.0,0.24605953589790477,0.00015293080576367842
64.0,0.2459711740182166,0.0001529453918452071
66.0,0.24588209475572534,0.00015295694160428203
68.0,0.2457919853676039,0.00015296416658339867
70.0,0.2457012286451831,0.0001529706930453623
72.0,0.2456097077390229,0.0001529744618222906
74.0,0.2455174052830979,0.0001529755782004427
76.0,0.24542416201225745,0.00015297337199865076
78.0,0.24532991295546067,0.00015296988874759814
80.0,0.2452349064713969,0.00015296396895053097
82.0,0.24513921452965126,0.00015295564952347502
84.0,0.24504267020051387,0.00015294469324391008
86.0,0.24494526512682582,0.00015293218289982248
88.0,0.24484707389316523,0.00015291749372906246
90.0,0.2447479735793609,0.00015290045159256077
92.0,0.24464805841971143,0.00015288178321401597
94.0,0.24454729783449425,0.0001528609184620945
96.0,0.2444456809597786,0.0001528382400845124
98.0,0.2443433674083814,0.00015281386397637592
100.0,0.2442403519590845,0.00015278757811277584
102.0,0.24413661109811557,0.00015275941666935235
104.0,0.24403215173013065,0.00015272942216068002
106.0,0.24392698238860883,0.0001526976344407647
108.0,0.24382111306829693,0.0001526640908459265
110.0,0.24371455507881878,0.00015262882607710763
112.0,0.24360732090094472,0.00015259187304056355
114.0,0.2434994567961672,0.0001525532505111463
116.0,0.24339093877340176,0.00015251300844563336
118.0,0.24328178213389068,0.00015247116641427995
120.0,0.24317200365465338,0.00015242775055358587
122.0,0.24306162061728057,0.0001523827854412924
124.0,0.24295065073424238,0.00015233629474690197
126.0,0.24283911208346093,0.00015228830098839002
128.0,0.2427270377078215,0.0001522388195401751
130.0,0.2426144291725596,0.00015218788181821556
132.0,0.24250130506834247,0.00015213550356966548
134.0,0.2423876847307362,0.00015208170395052202
136.0,0.24227359246981506,0.00015202649823224174
138.0,0.24215904626740847,0.00015196991018038541
140.0,0.2420440602470688,0.0001519119551930435
142.0,0.24192865400815147,0.00015185265021337805
144.0,0.24181284704522618,0.0001517920120546503
146.0,0.24169665873703533,0.0001517300566085606
148.0,0.24158010832330531,0.0001516668000149844
150.0,0.24146321488941333,0.00015160225771133678
